,month,date,hour,Hieu suat,Total input power(kW)
433,6,2022-06-27,11,74.31989119021972,99.969
434,6,2022-06-27,12,76.09639013266364,99.196
435,6,2022-06-27,13,78.17116568939409,95.868
436,6,2022-06-27,14,79.66659530693586,84.519
437,6,2022-06-28,10,76.80515517137631,89.754
438,6,2022-06-28,11,75.38680624637976,91.072
439,6,2022-06-28,12,76.92993524127895,94.746
440,6,2022-06-28,13,77.78885296957742,97.509
441,6,2022-06-28,14,79.50049080349649,85.331
442,6,2022-06-29,9,74.22687741912675,86.397
443,6,2022-06-29,10,73.90030984155293,94.217
444,6,2022-06-29,11,74.15008049857931,97.991
445,6,2022-06-29,12,75.98373795462491,95.518
446,6,2022-06-29,13,79.62995903361987,92.676
447,6,2022-06-29,14,79.99064743398003,83.938
448,6,2022-06-30,9,73.81643018727961,87.256
449,6,2022-06-30,10,73.98580533974653,97.959
450,6,2022-06-30,11,75.9943793447667,100.377
451,6,2022-06-30,12,79.74571871096406,95.201
452,6,2022-06-30,13,79.27078578137224,98.705
453,6,2022-06-30,14,78.03289353125702,78.815
454,7,2022-07-03,10,78.30714481673712,90.599
455,7,2022-07-03,11,76.81345098548418,95.625
456,7,2022-07-03,12,79.70178726975682,94.531
457,7,2022-07-03,13,79.87758085115703,96.973
458,7,2022-07-04,9,77.08283852725525,86.095
459,7,2022-07-04,10,78.23926142889583,95.219
460,7,2022-07-04,11,78.56138852486608,112.119
461,7,2022-07-04,12,78.63389362519536,103.952
462,7,2022-07-04,13,77.86597531736635,98.897
463,7,2022-07-05,9,76.3796623325802,86.926
464,7,2022-07-05,10,75.37727664453915,97.222
465,7,2022-07-05,11,77.19797726498925,111.907
466,7,2022-07-05,12,77.38720947718967,101.048
467,7,2022-07-05,13,79.72700516974528,95.682
468,7,2022-07-05,14,79.9070077220188,85.531
469,7,2022-07-06,9,72.1039848984429,77.846
470,7,2022-07-06,10,77.53566201763621,100.659
471,7,2022-07-06,11,77.06201568814437,103.389
472,7,2022-07-06,12,78.41560772487304,97.395
473,7,2022-07-06,13,78.73378329586066,81.429
474,7,2022-07-07,8,79.15380220798887,98.022
475,7,2022-07-07,9,77.62837938894762,94.861
476,7,2022-07-07,10,77.01608003035021,103.713
477,7,2022-07-07,11,76.12754394404801,102.619
478,7,2022-07-07,12,79.8253367346915,93.666
479,7,2022-07-08,9,75.75080392046894,91.218
480,7,2022-07-08,10,75.77450836792518,97.906
481,7,2022-07-09,9,76.85860745613172,86.724
482,7,2022-07-09,10,75.24142128873422,103.57
483,7,2022-07-09,14,79.6643854872124,85.432
484,7,2022-07-11,10,79.26987201617585,81.718
485,7,2022-07-11,12,75.005372764749,107.841
486,7,2022-07-11,13,79.55481410157189,106.135
487,7,2022-07-11,14,77.60450446878491,96.608
488,7,2022-07-12,8,79.27519526921259,85.681
489,7,2022-07-12,9,77.33829623033948,98.866
490,7,2022-07-12,10,75.09066395523327,102.192
491,7,2022-07-12,11,76.32017232852955,104.266
492,7,2022-07-12,12,76.51236013340059,102.111
493,7,2022-07-12,13,79.61905146149215,96.812
494,7,2022-07-12,14,79.82984633885944,91.64
495,7,2022-07-13,8,69.49133765010296,76.534
496,7,2022-07-13,9,77.04473975977218,96.497
497,7,2022-07-13,10,75.14502104295325,107.858
498,7,2022-07-13,11,76.44742569018076,106.524
499,7,2022-07-13,12,78.73117488696141,109.167
500,7,2022-07-13,13,79.5238669735019,97.463
501,7,2022-07-13,14,79.88455456005002,94.06
502,7,2022-07-14,8,75.92919836164931,81.849
503,7,2022-07-14,9,77.67627510524207,90.89
504,7,2022-07-14,10,78.26721831729229,95.515
505,7,2022-07-14,11,75.77611540905309,105.007
506,7,2022-07-14,12,76.77564249486703,102.918
507,7,2022-07-14,13,79.5113628512962,99.163
508,7,2022-07-14,14,79.98563819708838,88.891
509,7,2022-07-15,8,74.77788651729657,77.014
510,7,2022-07-15,9,75.07723409868187,91.591
511,7,2022-07-15,10,75.16995308099474,99.047
512,7,2022-07-15,11,76.29587304905463,103.03
513,7,2022-07-15,12,78.39872911313999,103.883
514,7,2022-07-15,13,79.82875228470803,102.068
515,7,2022-07-16,9,78.48316625985588,88.237
516,7,2022-07-16,10,74.57987766773057,98.724
517,7,2022-07-16,11,76.05788672047726,102.124
518,7,2022-07-16,12,78.17433848177741,102.75
519,7,2022-07-16,13,79.68290255169144,97.829
520,7,2022-07-16,14,79.30569651782596,87.744
521,7,2022-07-17,9,75.13269148396027,87.824
522,7,2022-07-17,10,75.46284361525395,97.421
523,7,2022-07-17,11,75.69473052148275,100.419
524,7,2022-07-17,12,77.04580500673724,100.238
525,7,2022-07-17,13,79.99909939660583,97.272
526,7,2022-07-18,9,75.08264405428137,88.29
527,7,2022-07-18,10,74.56853094566902,97.275
528,7,2022-07-18,11,75.20703901169095,100.793
529,7,2022-07-18,12,76.60607031388396,100.581
530,7,2022-07-18,13,79.70014602383232,96.194
531,7,2022-07-18,14,79.97656029173152,86.967
532,7,2022-07-19,9,76.09605260340585,92.533
533,7,2022-07-19,10,79.69327383858266,103.015
534,7,2022-07-19,11,76.46535951863291,111.897
535,7,2022-07-19,12,78.67944386705442,102.049
536,7,2022-07-19,13,79.32380877943854,97.011
537,7,2022-07-19,14,79.2874268797568,84.165
538,7,2022-07-20,10,79.44403110597187,82.629
539,7,2022-07-20,12,79.09488035655795,86.49
540,7,2022-07-20,13,77.80960602876894,104.765
541,7,2022-07-20,14,79.14000328813835,77.182
542,7,2022-07-21,10,78.94852878328346,111.416
543,7,2022-07-21,11,79.04068229453657,106.993
544,7,2022-07-21,12,77.3208273935165,107.268
545,7,2022-07-21,13,79.12676693561465,103.714
546,7,2022-07-21,14,79.9160443929855,95.295
547,7,2022-07-22,8,74.27937736830695,77.316
548,7,2022-07-22,9,75.20057777839516,92.456
549,7,2022-07-22,10,74.6194460063076,99.512
550,7,2022-07-22,11,75.40210071475272,103.709
551,7,2022-07-22,12,76.05373599641703,103.239
552,7,2022-07-22,13,78.90784389293466,99.037
553,7,2022-07-22,14,79.78332619854731,89.536
554,7,2022-07-23,8,76.1452379361128,84.126
555,7,2022-07-23,9,78.43261877019042,101.783
556,7,2022-07-23,10,78.47277534492231,106.938
